State,College,County,City,Probability
Alabama,Auburn University,Lee,Auburn,0.06480154982588067
Alabama,Troy University,Pike,Troy,0.0
Alabama,University of South Alabama,Mobile,Mobile,0.0726695401555976
Alaska,University of Alaska Anchorage,Anchorage Municipality,Anchorage,0.038640232701658055
Arizona,Grand Canyon University,Maricopa,Phoenix,0.01591175680729292
Arizona,Northern Arizona University,Coconino,Flagstaff,0.004363752411497716
Arizona,University of Arizona,Pima,Tucson,0.046351039614130965
Arkansas,Arkansas Tech University,Pope,Russellville,0.04863477667267402
Arkansas,University of Arkansas,Washington,Fayetteville,0.13308509338260474
California,Antelope Valley College,Los Angeles,Lancaster,0.010212024087478386
California,Bakersfield College,Kern,Bakersfield,0.0
California,Cypress College,Orange,Cypress,0.02787909462264161
California,Foothill College,Santa Clara,Los Altos,0.0
California,MiraCosta College,San Diego,Oceanside,0.007701413953723899
California,Modesto Junior College,Stanislaus,Modesto,
California,Rio Hondo College,Los Angeles,Whittier,0.016873247572848363
California,San Diego City College,San Diego,San Diego,0.036178062206324316
California,San Diego Mesa College,San Diego,San Diego,0.0
California,San Diego Miramar College,San Diego,San Diego,0.0
California,San Francisco State University,San Francisco,San Francisco,0.0
California,San Jose State University,Santa Clara,San Jose,0.009849509482474672
California,Santa Ana College,Orange,Santa Ana,0.007505710468927268
California,Santa Monica College,Los Angeles,Santa Monica,0.0
California,Santiago Canyon College,Orange,Orange,0.0
California,Southwestern College,San Diego,Chula Vista,0.0
Kansas,Southwestern College,Cowley,Winfield,0.0
California,Stanford University,Santa Clara,Stanford,0.0
California,University of Southern California,Los Angeles,Los Angeles,0.014207296954550133
Colorado,Arapahoe Community College,Arapahoe,Littleton,0.0
Colorado,Front Range Community College,Adams,Westminster,0.0
Colorado,Metropolitan State University of Denver,Denver,Denver,0.008631761951024301
Colorado,Pikes Peak Community College,El Paso,Colorado Springs,0.013267276560667333
Colorado,University of Colorado Boulder,Boulder,Boulder,0.05989159913567793
Colorado,University of Colorado Colorado Springs,El Paso,Colorado Springs,0.003952590795404692
Colorado,University of Denver,Denver,Denver,0.009343012555675507
Colorado,University of Northern Colorado,Weld,Greeley,0.03192969965225439
Connecticut,Central Connecticut State University,Hartford,New Britain,0.020740312682812644
Delaware,University of Delaware,New Castle,Newark,0.03764490768951757
Delaware,Wilmington University,New Castle,New Castle,
Florida,Broward College,Broward,Fort Lauderdale,0.0
Florida,Daytona State College,Volusia,Daytona Beach,0.005311244563845594
Florida,Eastern Florida State College,Brevard,Cocoa ,0.0
Florida,Florida Atlantic University,Palm Beach,Boca Raton,0.04473251492520867
Florida,Florida Gulf Coast University,Lee,Fort Myers,0.03423686564286982
Florida,Florida International University,Miami-Dade,Miami,0.041573213367723544
Florida,Florida SouthWestern State College,Lee,Fort Myers,0.017307848675429217
Florida,Florida State College at Jacksonville,Duval,Jacksonville,0.009683418883723607
Florida,Florida State University,Leon,Tallahassee,0.07589073679790342
Florida,Full Sail University,Orange,Winter Park,0.0
Florida,Hillsborough Community College,Hillsborough,Tampa,0.0
Florida,Indian River State College,St. Lucie,Fort Pierce,0.0
Florida,Miami Dade College,Miami-Dade,Miami,0.007469505895267958
Florida,Nova Southeastern University,Broward,Fort Lauderdale,0.00014262280773422149
Florida,Palm Beach State College,Palm Beach,Lake Worth,0.0
Florida,Pasco-Hernando State College,Pasco,New Port Richey,0.017819856842834655
Florida,Saint Leo University,Pasco,Saint Leo,0.0
Florida,Santa Fe College,Alachua,Gainesville,0.008687123330570116
Florida,Seminole State College of Florida,Seminole,Sanford,0.0
Florida,Tallahassee Community College,Leon,Tallahassee,0.01857446263447245
Florida,University of Central Florida,Orange,Orlando,0.050078900700794335
Florida,University of Florida,Alachua,Gainesville,0.10870422352276846
Florida,University of Miami,Miami-Dade,Miami,0.04400583572630135
Florida,University of North Florida,Duval,Jacksonville,0.010121817485658286
Florida,Valencia College,Orange,Orlando,0.004545563732782225
Georgia,Emory University,Fulton,Atlanta,0.007183075196752549
Georgia,Georgia Gwinnett College,Gwinnett,Lawrenceville,0.04138492551009878
Georgia,Georgia Southern University,Bulloch,Statesboro,0.011162447458709163
Georgia,Georgia State University,Fulton,Atlanta,0.007272297732608046
Georgia,Kennesaw State University,Cobb,Kennesaw,0.07730118875786603
Georgia,University of Georgia,Clarke,Athens,0.1305865480032769
Georgia,University of North Georgia,Lumpkin,Dahlonega,0.031070483889894723
Georgia,Valdosta State University,Lowndes,Valdosta,0.0024258460574035686
Hawaii,University of Hawaii at Manoa,Honolulu,Honolulu,0.01566955188366444
Idaho,Boise State University,Ada,Boise ,0.02307947782134878
Idaho,Brigham Young University-Idaho,Madison,Rexburg,0.02054661480998047
Idaho,Idaho State University,Bannock,Pocatello,0.07526507989706216
Idaho,University of Idaho,Latah,Moscow,0.058849022667032076
Illinois,DePaul University,Cook,Chicago,0.016696311451267976
Illinois,Illinois State University,McLean,Normal,0.0885603836321255
Illinois,Loyola University Chicago,Cook,Chicago,0.0
Illinois,Northwestern University,Cook,Evanston,0.008207818882687139
Illinois,University of Chicago,Cook,Chicago,0.012825583483266036
Illinois,University of Illinois at Chicago,Cook,Chicago,0.03632736725792162
Indiana,Ball State University,Delaware,Muncie,0.07996331660613902
Indiana,Indiana State University,Vigo,Terre Haute,0.017895946345998587
